nitrogen,phosphorus,potassium,ph,moisture,temperature,recommended_fertilizer,advice
51,54,57,6.8,53,20,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
41,41,24,6.6,42,22,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
49,55,66,6.6,53,33,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
37,77,56,6.2,25,28,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
33,64,25,6.9,33,34,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
62,83,83,6.9,46,33,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
67,57,51,6.7,59,21,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
63,50,51,6.4,59,31,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
66,49,63,7.1,33,28,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
34,27,24,6.3,53,28,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
54,53,47,7.1,43,35,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
53,38,45,6.1,35,35,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
44,53,84,6.6,64,33,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
80,56,71,7.3,61,34,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
75,44,76,6.4,65,31,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
57,51,60,6.3,31,22,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
73,65,96,6.2,61,25,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
52,45,80,6.0,43,29,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
61,66,71,6.2,50,33,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
28,34,44,7.2,30,38,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
62,43,48,6.9,56,19,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
40,16,19,6.7,40,24,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
73,45,65,6.6,58,34,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
57,77,63,6.7,41,19,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
80,86,87,6.3,70,24,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
90,66,72,7.3,41,19,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
50,48,98,6.4,30,19,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
50,45,20,6.4,44,35,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
25,47,40,5.9,27,22,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
36,22,45,6.4,29,28,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
60,20,80,6.4,29,29,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
39,77,72,5.7,60,30,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
48,80,80,5.6,60,19,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
56,35,62,6.5,33,24,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
46,55,63,5.8,51,23,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
52,74,60,5.6,25,18,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
59,65,76,7.2,42,33,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
47,31,82,5.7,30,21,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
47,56,73,6.3,31,23,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
26,21,21,6.7,44,21,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
81,57,82,6.1,67,37,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
52,77,59,6.9,53,21,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
34,10,46,5.5,36,21,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
41,76,77,7.0,56,23,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
15,31,17,6.8,52,21,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
80,20,82,6.1,59,32,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
47,57,36,6.2,32,22,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
17,10,14,5.4,43,40,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
49,57,59,5.5,35,28,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
41,56,38,6.7,39,36,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
16,15,42,6.2,52,29,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
36,70,56,5.9,64,32,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
36,26,39,5.5,22,20,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
47,57,79,6.9,32,26,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
66,31,52,6.0,43,34,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
35,10,48,6.4,32,31,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
35,48,43,7.1,38,24,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
25,61,28,5.6,55,28,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
62,44,73,6.7,49,31,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
53,38,40,6.4,30,26,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
82,47,93,6.4,65,25,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
43,28,11,7.0,41,27,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
51,36,58,6.3,36,23,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
14,11,30,5.4,17,31,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
46,85,72,6.9,44,19,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
19,28,28,6.0,36,27,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
36,21,39,6.9,43,30,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
52,45,36,6.8,57,35,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
53,81,63,6.6,26,25,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
63,52,64,5.6,28,31,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
13,21,29,5.1,42,21,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
75,22,86,6.6,59,21,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
83,85,59,6.8,69,35,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
45,65,16,6.3,34,26,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
64,38,50,6.3,51,31,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
53,40,46,5.9,50,21,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
95,58,77,6.8,49,25,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
47,53,73,5.6,58,30,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
89,80,61,6.4,35,21,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
51,60,18,7.0,58,33,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
50,32,55,6.7,45,20,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
48,42,79,5.5,52,34,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
63,45,97,7.2,45,33,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
82,41,92,6.4,54,24,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
71,40,39,6.2,59,26,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
43,30,19,5.2,17,38,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
68,28,89,7.3,61,21,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
34,34,26,6.5,21,35,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
28,6,21,5.8,47,34,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
93,83,90,6.5,58,30,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
68,46,37,6.3,35,24,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
13,32,17,6.9,37,26,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
56,84,76,5.6,28,30,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
37,68,59,7.0,43,20,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
38,18,21,6.7,37,35,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
61,46,74,6.4,56,27,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
49,53,88,7.3,43,19,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
47,79,54,7.2,43,35,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
88,67,82,6.7,49,30,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
85,81,90,6.1,68,31,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
14,25,29,6.2,46,27,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
19,30,13,7.2,53,21,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
46,77,61,6.7,47,25,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
70,57,86,6.5,38,24,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
25,27,18,6.2,44,36,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
58,39,47,6.0,54,31,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
61,63,87,6.0,43,20,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
43,59,77,6.6,37,24,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
75,33,82,5.7,64,33,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
30,62,19,6.1,58,28,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
51,56,50,6.4,32,35,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
38,40,27,6.2,50,19,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
18,63,24,6.2,30,37,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
42,79,55,5.6,38,26,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
28,20,20,6.0,51,23,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
50,63,63,6.6,29,23,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
23,57,19,7.2,27,37,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
33,47,43,6.5,45,20,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
58,55,63,6.6,60,23,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
17,30,22,6.9,24,27,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
51,58,62,6.5,49,30,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
76,53,100,5.8,31,36,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
54,57,60,5.9,54,32,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
34,27,27,6.9,39,30,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
19,22,47,6.6,43,28,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
63,81,68,6.4,43,26,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
48,37,44,7.0,59,35,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
82,80,59,6.2,41,29,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
77,61,82,7.1,59,25,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
67,58,59,6.5,53,19,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
41,59,57,6.3,26,34,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
65,68,50,6.5,28,34,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
45,55,54,7.1,32,34,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
83,24,90,6.9,66,19,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
63,60,66,6.3,65,33,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
68,59,48,6.3,57,20,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
86,59,73,6.2,33,23,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
56,58,36,7.2,40,25,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
27,25,37,5.7,43,25,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
36,54,22,7.2,39,32,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
42,61,75,7.0,33,32,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
69,48,62,7.1,50,34,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
49,63,36,5.6,24,32,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
38,46,16,6.5,56,30,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
55,42,36,6.1,59,34,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
36,9,44,6.1,30,25,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
42,29,17,6.7,44,25,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
84,87,77,7.4,64,22,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
63,21,89,6.0,51,32,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
62,51,73,5.8,27,20,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
76,59,71,7.0,42,18,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
86,89,55,6.0,41,30,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
36,75,74,6.7,65,34,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
74,60,87,5.6,34,28,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
21,58,16,6.7,55,29,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
62,64,62,6.3,54,27,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
80,38,96,6.2,33,28,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
28,25,41,5.3,39,33,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
72,52,72,6.9,59,19,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
33,14,13,5.2,40,25,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
24,26,47,5.6,27,28,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
10,12,19,5.5,22,32,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
48,58,41,6.0,44,34,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
37,14,31,6.6,28,30,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
27,22,19,6.5,33,29,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
44,12,30,6.8,18,26,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
32,30,55,5.7,36,20,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
72,35,92,6.7,67,19,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
68,33,94,7.0,68,32,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
18,25,26,5.2,47,38,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
45,60,75,6.2,51,30,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
86,87,63,7.3,67,30,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
71,68,83,7.1,47,23,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
76,65,57,5.9,64,21,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
59,30,72,6.1,56,35,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
18,52,45,6.2,52,24,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
33,9,28,6.8,17,25,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
23,45,41,6.2,47,24,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
32,59,23,7.0,30,37,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
46,55,83,5.5,57,25,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
77,84,81,6.2,54,30,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
53,40,56,6.8,60,24,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
32,15,33,6.3,39,36,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
32,9,48,6.9,21,33,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
84,78,56,6.4,55,28,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
54,46,86,7.4,34,33,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
71,56,48,6.8,31,28,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
43,44,38,5.5,46,35,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
63,35,91,7.1,32,35,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
33,31,38,6.6,45,21,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
42,48,26,5.6,21,38,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
16,52,31,5.8,23,34,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
69,37,84,7.0,53,33,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
38,59,56,6.5,31,20,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
61,55,51,6.6,34,33,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
83,86,82,7.4,61,33,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
52,24,98,5.9,48,22,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
57,40,51,6.0,37,23,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
69,48,37,6.9,56,21,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
27,58,48,6.5,35,29,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
67,32,37,6.7,61,19,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
85,87,86,5.9,54,24,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
62,22,93,6.3,29,21,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
47,61,90,5.8,69,20,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
66,85,84,6.5,47,22,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
20,63,50,6.9,30,30,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
75,49,92,7.1,42,25,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
68,38,45,6.9,52,29,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
47,51,24,6.1,38,27,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
45,9,26,7.1,37,31,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
77,35,85,6.4,38,26,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
81,21,78,5.9,34,33,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
56,61,58,6.5,38,22,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
59,29,92,5.9,32,26,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
43,29,27,6.5,42,27,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
74,59,60,6.8,37,32,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
41,32,97,6.6,53,25,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
72,38,73,6.1,56,31,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
83,58,58,7.1,64,19,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
67,46,49,6.3,32,24,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
49,51,48,6.9,33,22,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
81,72,67,6.9,68,33,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
